Vehicle Number,Vehicle Type,Weather,Traffic,Location,Parking Time
ABC4091,Bike,Sunny,Medium,Office,4
ABC8305,Car,Foggy,Low,Residential,7
ABC1351,Car,Rainy,Low,Shopping Mall,4
ABC1434,Truck,Rainy,Medium,Residential,9
ABC2701,SUV,Foggy,High,Office,6
ABC9598,SUV,Sunny,Medium,Office,4
ABC7348,SUV,Rainy,Medium,Residential,8
ABC1115,Bike,Snowy,Low,Residential,7
ABC5676,Truck,Foggy,Medium,Office,6
ABC8222,Car,Rainy,Low,Office,7
ABC4002,Car,Snowy,Low,Residential,10
ABC5421,Truck,Sunny,Low,Residential,8
ABC8730,Truck,Sunny,Low,Shopping Mall,1
ABC1662,Car,Foggy,High,Shopping Mall,4
ABC1801,Car,Rainy,Low,Office,8
ABC3451,Car,Snowy,High,Residential,7
ABC5544,SUV,Snowy,Medium,Office,8
ABC1825,Truck,Snowy,High,Shopping Mall,4
ABC5824,Truck,Sunny,Medium,Shopping Mall,1
ABC4882,Bike,Foggy,Low,Office,7
ABC8155,Car,Sunny,Low,Residential,8
ABC6764,SUV,Snowy,Low,Residential,10
ABC3155,SUV,Rainy,Medium,Residential,9
ABC1012,Truck,Snowy,High,Shopping Mall,3
ABC7267,SUV,Rainy,Low,Shopping Mall,2
ABC8513,Car,Foggy,Medium,Residential,8
ABC9574,Truck,Foggy,High,Residential,14
ABC2429,Truck,Rainy,Low,Residential,9
ABC3270,SUV,Rainy,Low,Office,9
ABC8849,Truck,Snowy,Medium,Shopping Mall,2
ABC8717,SUV,Snowy,Medium,Office,4
ABC8871,SUV,Foggy,Low,Shopping Mall,3
ABC1345,Truck,Sunny,Medium,Office,4
ABC4635,Truck,Foggy,Medium,Shopping Mall,4
ABC4813,Bike,Foggy,Medium,Residential,7
ABC6022,Truck,Rainy,Medium,Shopping Mall,3
ABC9737,SUV,Sunny,Medium,Residential,7
ABC7371,Car,Rainy,Medium,Office,7
ABC4855,SUV,Sunny,Medium,Residential,6
ABC5033,Car,Snowy,High,Residential,12
ABC1336,Truck,Sunny,Medium,Office,8
ABC3152,Bike,Rainy,High,Office,6
